"#";"Iniciar";"Localização";"Descrição"
"1";"25/08/2023 02:29";"=HYPERLINK(""http://maps.google.com/?q=-26,6002635,-51,0980413"",""Calmon (Calmon)"")";"Estado Activo"
"2";"25/08/2023 02:29";"=HYPERLINK(""http://maps.google.com/?q=-26,6002635,-51,0980413"",""Calmon (Calmon)"")";"Ligado"
"3";"25/08/2023 02:31";"=HYPERLINK(""http://maps.google.com/?q=-26,600224,-51,0980409"",""Calmon (Calmon)"")";"Primeiro Acerto do GPS"
"4";"25/08/2023 02:32";"=HYPERLINK(""http://maps.google.com/?q=-26,6002241,-51,0980403"",""Calmon (Calmon)"")";"Prestes a Entrar em Estado de Descanso"
"5";"25/08/2023 02:32";"=HYPERLINK(""http://maps.google.com/?q=-26,6002241,-51,0980403"",""Calmon (Calmon)"")";"GSM Metrics-pt"
"6";"25/08/2023 07:10";"=HYPERLINK(""http://maps.google.com/?q=-26,6002241,-51,0980403"",""Calmon (Calmon)"")";"Estado Activo"
"7";"25/08/2023 07:10";"=HYPERLINK(""http://maps.google.com/?q=-26,6002241,-51,0980403"",""Calmon (Calmon)"")";"Ligado"
"8";"25/08/2023 07:10";"=HYPERLINK(""http://maps.google.com/?q=-26,6002241,-51,0980403"",""Calmon (Calmon)"")";"Chave Ligada"
"9";"25/08/2023 07:10";"=HYPERLINK(""http://maps.google.com/?q=-26,6002241,-51,0980403"",""Calmon (Calmon)"")";"Arranque do Motor"
"10";"25/08/2023 07:12";"=HYPERLINK(""http://maps.google.com/?q=-26,6009473,-51,0981963"",""Calmon (Calmon)"")";"Primeiro Acerto do GPS"
"11";"25/08/2023 07:12";"=HYPERLINK(""http://maps.google.com/?q=-26,6009473,-51,0981963"",""Calmon (Calmon)"")";"Em andamento"
"12";"25/08/2023 07:18";"=HYPERLINK(""http://maps.google.com/?q=-26,6064746,-51,0999808"",""Calmon (Calmon)"")";"Paragem do Motor"
"13";"25/08/2023 07:18";"=HYPERLINK(""http://maps.google.com/?q=-26,6064746,-51,0999808"",""Calmon (Calmon)"")";"Chave Desligada"
"14";"25/08/2023 07:27";"=HYPERLINK(""http://maps.google.com/?q=-26,6064808,-51,0999816"",""Calmon (Calmon)"")";"Chave Ligada"
"15";"25/08/2023 07:27";"=HYPERLINK(""http://maps.google.com/?q=-26,6064808,-51,0999816"",""Calmon (Calmon)"")";"Arranque do Motor"
"16";"25/08/2023 07:32";"=HYPERLINK(""http://maps.google.com/?q=-26,6067275,-51,100309"",""Calmon (Calmon)"")";"Em andamento"
"17";"25/08/2023 07:37";"=HYPERLINK(""http://maps.google.com/?q=-26,6070451,-51,0988336"",""Calmon (Calmon)"")";"GSM Diagnostics-pt"
